time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction
1370,241664,118,176,0.35442739725112915,-2.5626930743455887,0.9045041799545288,0.0051870826,0.8724995851516724,0.0003,1.4185032829642297,1170,-0.005579070252133533,0.2,0.024951171875
1370,243712,119,177,0.6530635952949524,-2.563780406117439,0.8427509069442749,0.006692956,0.8701741695404053,0.0003,2.7180052287876606,1180,-0.005948911956511438,0.2,0.06396484375
1370,245760,120,179,0.08171580731868744,-2.556373968720436,0.9314281940460205,0.005886684,0.8677767515182495,0.0003,0.3677862949669361,1190,-0.00400649270741269,0.2,0.039892578125
1371,247808,121,180,0.3683439791202545,-2.5527884721755982,0.9121410846710205,0.0053347847,0.8662525415420532,0.0003,1.094854575395584,1200,-0.004225857081473805,0.2,0.0359375
1371,249856,122,182,0.4793141782283783,-2.547201523184776,0.8220083713531494,0.0073458874,0.8631547689437866,0.0003,1.2346103575080634,1210,-0.00482112582976697,0.2,0.035693359375
1371,251904,123,183,0.05481068789958954,-2.5379511564970016,0.976027250289917,0.009256422,0.8585588932037354,0.0003,0.3502769053913653,1220,-0.007832578907255083,0.2,0.07158203125
1371,253952,124,185,0.04200376942753792,-2.5283318608999252,0.9546999931335449,0.005629357,0.8549728393554688,0.0003,0.35263013569638135,1230,-0.004261612732079811,0.2,0.046435546875
1371,256000,125,186,1.0337014198303223,-2.5183696150779724,0.7048202753067017,0.0054530567,0.8509888648986816,0.0003,2.7522410340607166,1240,-0.0033283399970969185,0.2,0.0388671875
1371,258048,126,188,1.1504958868026733,-2.516310769319534,0.8903074264526367,0.005124487,0.8549341559410095,0.0003,1.7285407789051532,1250,-0.006741487476392649,0.2,0.035498046875
1372,260096,127,189,0.8884360194206238,-2.5272417277097703,0.5705811977386475,0.0058693527,0.8583613038063049,0.0003,2.1220615170896053,1260,-0.005085935995157343,0.2,0.035693359375
1372,262144,128,191,0.8459668755531311,-2.5273226261138917,0.7643199563026428,0.009299564,0.854843020439148,0.0003,2.2629548028111457,1270,-0.007678419882722665,0.2,0.07353515625
1372,264192,129,192,1.3092248439788818,-2.519461178779602,0.7019250392913818,0.006262647,0.8529220223426819,0.0003,4.266397029161453,1280,-0.005893363239010796,0.2,0.035986328125
1372,266240,130,193,0.2185337245464325,-2.519486075639725,0.8796279430389404,0.0065741977,0.8559232950210571,0.0003,0.8701322980225086,1290,-0.006603638819069601,0.2,0.064501953125
1372,268288,131,195,0.3058680593967438,-2.5237351030111315,0.860744833946228,0.004418348,0.8536059856414795,0.0003,1.258121744915843,1300,-0.003700221300823614,0.2,0.04326171875
1372,270336,132,196,0.16704876720905304,-2.5219313353300095,0.9556288123130798,0.0058435323,0.8560482263565063,0.0003,0.6252747345715761,1310,-0.003091015008976683,0.2,0.038037109375
1372,272384,133,198,0.5318441987037659,-2.5269337713718416,0.8367903828620911,0.004168802,0.8567985892295837,0.0003,1.8198644027113915,1320,-0.005695311291492544,0.2,0.033642578125
1373,274432,134,199,0.4695214033126831,-2.5262681156396867,0.8534595370292664,0.0038712695,0.8545860052108765,0.0003,1.455299799144268,1330,-0.002407322677754564,0.2,0.020751953125
1373,276480,135,201,1.4481581449508667,-2.522527688741684,0.6924299001693726,0.0089457445,0.8554744720458984,0.0003,3.8302117764949797,1340,-0.008737107212073169,0.2,0.07939453125
1373,278528,136,202,0.10428386181592941,-2.5158438473939895,0.8777693510055542,0.0075702,0.8465576171875,0.0003,0.42478248197585344,1350,-0.00735208514961414,0.2,0.06904296875
1373,280576,137,204,0.08593518286943436,-2.502837687730789,0.6769270896911621,0.009165617,0.8464592099189758,0.0003,0.3293058104813099,1360,-0.007051699022122193,0.2,0.068017578125
1374,282624,138,205,0.23753473162651062,-2.5051250517368318,0.8245301842689514,0.009772467,0.8482576608657837,0.0003,0.6654322873800993,1370,-0.006631058658240363,0.2,0.088037109375
1374,284672,139,207,1.1015942096710205,-2.505808970332146,0.6720963716506958,0.004686881,0.8458480834960938,0.0003,3.7469411909580232,1380,-0.0053498861409025265,0.2,0.05078125
1374,286720,140,208,1.7933413982391357,-2.500566190481186,0.4529595375061035,0.0060111685,0.8448431491851807,0.0003,4.969443768262863,1390,-0.002828140326892026,0.2,0.035009765625
1374,288768,141,210,0.9358330965042114,-2.5003358513116836,0.6093913912773132,0.007162099,0.8457379341125488,0.0003,2.037122268974781,1400,-0.005650828420766629,0.2,0.0599609375
1374,290816,142,211,0.40647074580192566,-2.496756437420845,0.5809487104415894,0.0059826802,0.8395357131958008,0.0003,1.4769406341016293,1410,-0.004869751216028817,0.2,0.069287109375
1374,292864,143,213,0.13994689285755157,-2.482774388790131,0.9578036665916443,0.009041949,0.8360611796379089,0.0003,0.4739184767007828,1420,-0.0070575739489868285,0.2,0.069384765625
1374,294912,144,214,0.410710871219635,-2.47607558965683,0.8319288492202759,0.0050971755,0.8326094150543213,0.0003,2.420647178590298,1430,-0.0031585655742674135,0.2,0.020068359375
1375,296960,145,215,0.107126384973526,-2.4614804714918135,0.9384478330612183,0.0062233023,0.8245434761047363,0.0003,0.32964517883956435,1440,-0.007388319954043254,0.2,0.05556640625
1375,299008,146,217,0.23582743108272552,-2.4487791121006013,0.9114217162132263,0.0055331104,0.8229292631149292,0.0003,0.8648984301835299,1450,-0.00494478136242833,0.2,0.03876953125
1375,301056,147,218,0.44184401631355286,-2.443773886561394,0.9425283670425415,0.007794105,0.8196688294410706,0.0003,1.2549085579812527,1460,-0.0062374000437557696,0.2,0.043701171875
1375,303104,148,220,1.0115089416503906,-2.4395921677351,0.6306753158569336,0.004970407,0.8212341070175171,0.0003,2.157045794278383,1470,-0.00577415112638846,0.2,0.0490234375
1375,305152,149,221,1.536730170249939,-2.4440747410058976,0.5921754837036133,0.0037828584,0.8223295211791992,0.0003,3.7629773050546644,1480,-0.0028937644558027385,0.2,0.030859375
1375,307200,150,223,0.08685840666294098,-2.4399679064750672,0.9722904562950134,0.0070115896,0.8159706592559814,0.0003,0.30549687296152117,1490,-0.007598250266164541,0.2,0.0599609375
1375,309248,151,224,0.06770692765712738,-2.4258425027132033,0.9622714519500732,0.010132686,0.8129685521125793,0.0003,0.2583451344631612,1500,-0.005668926185171586,0.2,0.071240234375
